"","Region","District","FacilityName","Type","Town","Ownership","Latitude","Longitude","newColumn + 42","newColumn"
"15","Ashanti","Sekyere South","Afamaso Maternity Home","Maternity Home","Afamaso","Private",6.94912,-1.50873,48.94912,48.94912
"16","Ashanti","Sekyere Central","Aframso Health Centre","Health Centre","Aframso No.3","Government",7.14472,-1.12162,49.14472,49.14472
"17","Ashanti","Afigya-Kwabre","Afrancho Health Centre","Health Centre","Afrancho","Government",6.81527,-1.59589,48.81527,48.81527
"18","Ashanti","Asante-Akim North Municipal","Agogo Presby Hospital","Hospital","Agogo","CHAG",6.79618,-1.08529,48.79618,48.79618
"19","Ashanti","Sekyere South","Agona Health Centre","Health Centre","Agona","Government",6.93605,-1.49759,48.93605,48.93605
"20","Ashanti","Ejisu-Juaben Municipal","Agyenkwa Clinic","Clinic","Hwireso","Private",6.67522,-1.38159,48.67522,48.67522
"21","Ashanti","Obuasi Municipal","Agyenkwa Clinic","Clinic","New  Estate-Obuasi","Private",6.20898,-1.67103,48.20898,48.20898
"22","Ashanti","Atwima-Kwanwoma","Ahenema kokoben Health Centre","Health Centre","Ahenema kokoben","Government",6.62597,-1.64978,48.62597,48.62597
"23","Ashanti","Afigya-Kwabre","Ahenkro Health Centre","Health Centre","Ahenkro","Government",6.87155,-1.64009,48.87155,48.87155
"24","Ashanti","Sekyere East","Ahmadiya Muslim Hospital","Hospital","Effiduase","Private",6.84534,-1.38366,48.84534,48.84534
"25","Ashanti","Bekwai Municipal","Ahmadiyaa Mission Hospital","Hospital","Kokofu","Private",6.50986,-1.53649,48.50986,48.50986
"26","Ashanti","Bekwai Municipal","Ahwene Memorial Hospital","Hospital","Bekwai","Private",6.45491,-1.57071,48.45491,48.45491
"27","Ashanti","Adansi South","Aim High Clinic","Clinic","Subin Camp","Private",5.96717,-1.44993,47.96717,47.96717
"28","Ashanti","Sekyere East","Akokuaso Health Centre","Health Centre","Akokuaso","Government",6.85355,-1.33583,48.85355,48.85355
"29","Ashanti","Bekwai Municipal","Akomaa Memorial Hospital","Hospital","Kortwia","CHAG",6.43966,-1.53837,48.43966,48.43966
"30","Ashanti","Offinso North","Akomadan Health Centre","Health Centre","Akomadan zongo","Government",7.40581,-1.96072,49.40581,49.40581
"31","Ashanti","Adansi North","Akrofrom Clinic","Clinic","New Akrofrom","Private",6.15348,-1.47621,48.15348,48.15348
"32","Ashanti","Amansie Central","Akrofrom Community Clinic","Clinic","Akrofrom","Government",6.39651,-1.60783,48.39651,48.39651
"33","Ashanti","Adansi South","Akrofrom Health Centre","Health Centre","Akrofrom","Government",6.12385,-1.65387,48.12385,48.12385
"34","Ashanti","Adansi North","Akrokerri Health Centre","Health Centre","Akrokerri","Government",6.29513,-1.63224,48.29513,48.29513
"35","Ashanti","Atwima-Nwabiagya","Akropong Health Centre","Health Centre","Akropong","Government",7,-2,49,49
"36","Ashanti","Atwima-Nwabiagya","Akropong Maternity Home","Maternity Home","Akropong","Private",7,-2,49,49
"37","Ashanti","Adansi South","Akutreso Health Centre","Health Centre","Akutreso","Government",6.09619,-1.29292,48.09619,48.09619
"38","Ashanti","Ahafo-Ano North","Akwasiase Dressing Station","Clinic","Akwasiase","Quasi-Government",6.99498,-2.19887,48.99498,48.99498
"39","Ashanti","Ahafo-Ano North","Alice Memorial Maternity Clinic","Maternity Home","Tepa","Private",6.99961,-2.17134,48.99961,48.99961
"40","Ashanti","Obuasi Municipal","All Souls Clinic","Clinic","Akaporiso","Private",6.19852,-1.62881,48.19852,48.19852
"41","Ashanti","Adansi South","Allen Health Clinic","Clinic","Wamasi","Government",6.08691,-1.69553,48.08691,48.08691
"42","Ashanti","Obuasi Municipal","Amansan Clinic","Clinic","Aboagye Krom","Private",6.19128,-1.65044,48.19128,48.19128
"43","Ashanti","Asante-Akim North Municipal","Amantenaman Health Centre","Health Centre","Nyinamponase","Government",6.77005,-1.16254,48.77005,48.77005
"44","Ashanti","Ejisu-Juaben Municipal","Amponsah Konadu Memorial Maternity Home","Maternity Home","Bonwire","Private",6.79262,-1.47187,48.79262,48.79262
"45","Ashanti","Adansi South","Ampunyasi Health Centre","Health Centre","Ampunyasi","Government",6.05519,-1.73677,48.05519,48.05519
"46","Ashanti","Ahafo-Ano North","Anane Aya Maternity Home","Maternity Home","Akwasiase","Private",6.99542,-2.19993,48.99542,48.99542
"47","Ashanti","Asante-Akim North Municipal","Ananekrom Health Centre","Health Centre","Ananekrom","Government",6.91527,-1.01533,48.91527,48.91527
"48","Ashanti","Bosomtwe","Anglican (Mobile) Eye Clinic","Clinic","Jachie","CHAG",6.56615,-1.52066,48.56615,48.56615
"49","Ashanti","Bosomtwe","Atonso/Agogo Fejiase clinic","Clinic","Feyiase","Private",6.61268,-1.55999,48.61268,48.61268
"50","Ashanti","Bosomtwe","Brodekwanu Methodis Clinic","Clinic","Brodekwanu","CHAG",6.53546,-1.35365,48.53546,48.53546
"51","Ashanti","Bosomtwe","CAMFAP Maternity Clinic","Clinic","New Kokobiriko (Abijan-Nkwant","Private",6.57933,-1.54404,48.57933,48.57933
"52","Ashanti","Bosomtwe","Jachie Health Centre","Health Centre","Jachie","Government",6.56598,-1.52097,48.56598,48.56598
"53","Ashanti","Bosomtwe","Kuntenase Government Hospital","District Hospital","Kuntenase","Government",6.53752,-1.47454,48.53752,48.53752
"54","Ashanti","Bosomtwe","Lake Bosomtwi Methodist Clinic","Clinic","Amakom","CHAG",6.48398,-1.37362,48.48398,48.48398
"55","Ashanti","Bosomtwe","Nyameani Methodist Clinic","Clinic","Nyameani","CHAG",6.56458,-1.43022,48.56458,48.56458
"56","Ashanti","Bosomtwe","Piase CHPS","CHPS","Piase","Government",6.59099,-1.45151,48.59099,48.59099
"57","Ashanti","Bosomtwe","SDA Clinic Konkoma","Clinic","Konkoma","CHAG",6.51291,-1.34849,48.51291,48.51291
"58","Ashanti","Bosomtwe","Sophia Maternity Home","Maternity Home","Esereso","Private",6.63159,-1.56147,48.63159,48.63159
"59","Ashanti","Bosomtwe","St. Marys Anglican Clinic","Clinic","Apinkra","CHAG",6.54056,-1.54346,48.54056,48.54056
"60","Ashanti","Bosomtwe","St. Micheal Hospital","Hospital","Pramso","CHAG",6.55872,-1.51247,48.55872,48.55872
"61","Ashanti","Bosomtwe","Tetrefu Health Centre","Health Centre","Tetrefu","Government",6.62487,-1.53468,48.62487,48.62487
"62","Ashanti","Bosomtwe","God's Grace Maternity Home","Maternity Home","Aputuagya","Private",6.5016785,-1.4144827,48.5016785,48.5016785
"63","Ashanti","Obuasi Municipal","Anyinam Clinic","Clinic","Obuasi-Anyinam","Government",6.19897,-1.68205,48.19897,48.19897
"64","Ashanti","Ahafo-Ano North","Anyinasuso Health Centre","Health Centre","Anyinasuso","Government",6.95913,-2.10037,48.95913,48.95913
"65","Ashanti","Ahafo-Ano North","Anyinasuso Maternity Home","Maternity Home","Anyinasuso","Private",6.95871,-2.10015,48.95871,48.95871
"66","Ashanti","Offinso North","Anyinasusu SDA Centre","Clinic","Anyinasusu","CHAG",7.01484,-1.70874,49.01484,49.01484
"67","Ashanti","Sekyere Afram Plains","Anyinofi Health Centre","Health Centre","Anyinofi","Government",7.42528,-0.77045,49.42528,49.42528
"68","Ashanti","Mampong Municipal","Apaa Maternity Home","Maternity Home","Apaa","Private",6.95511,-1.43465,48.95511,48.95511
"69","Ashanti","Ejisu-Juaben Municipal","Apromase Health Centre","Health Centre","Apromase","Government",6.67085,-1.49543,48.67085,48.67085
"70","Ashanti","Mampong Municipal","Asaam Health Clinic","Health Centre","Asaam","Government",7.11732,-1.46598,49.11732,49.11732
"71","Ashanti","Obuasi Municipal","Asempa   Maternity and Clinic","Clinic","Gausu","Private",6.19924,-1.68233,48.19924,48.19924
"72","Ashanti","Atwima-Kwanwoma","Ahenema kokoben Health Centre","Health Centre","Ahenema kokoben","Government",6.62597,-1.64978,48.62597,48.62597
"73","Ashanti","Atwima-Kwanwoma","Bebu Methodist Clinic","Clinic","Bebu","CHAG",6.61154,-1.68505,48.61154,48.61154
"74","Ashanti","Atwima-Kwanwoma","Eye Adom Maternity Home","Maternity Home","Brofoyeduru","Private",6.61458,-1.65857,48.61458,48.61458
"75","Ashanti","Atwima-Kwanwoma","Foase Health Centre","Health Centre","Foase","Government",6.63751,-1.75124,48.63751,48.63751
"76","Ashanti","Atwima-Kwanwoma","Kwanwoma Health Centre","Health Centre","Kwanwoma","Government",6.62865,-1.63524,48.62865,48.62865
"77","Ashanti","Atwima-Kwanwoma","Trabuom Health Centre","Health Centre","Trabuom","Government",6.61142,-1.76252,48.61142,48.61142
"78","Ashanti","Atwima-Kwanwoma","Trede Health Centre","Health Centre","Trede","Government",6.57803,-1.66859,48.57803,48.57803
"79","Ashanti","Atwima-Kwanwoma","Nweneso III Health Centre","Health Centre","Nweneso III","Private",6.5972124,-1.578999399,48.5972124,48.5972124
"80","Ashanti","Bosome Freho","Asiwa Health Centre","Health Centre","Asiwa","Government",6.42344,-1.33434,48.42344,48.42344
"81","Ashanti","Adansi North","Asokwa Health Centre","Health Centre","Asokwa","Government",6.28068,-1.50786,48.28068,48.28068
"82","Ashanti","Amansie West","Essuowin Health Centre","Health Centre","Assuowin","Government",6.53656,-1.86502,48.53656,48.53656
"83","Ashanti","Sekyere Central","Asubuasu Health Centre","Health Centre","Asubuasu","Government",7.31624,-1.23529,49.31624,49.31624
"84","Ashanti","Atwima-Nwabiagya","Asuofua Health Centre","Health Centre","Asuofia","Government",7,-2,49,49
"85","Ashanti","Adansi South","Ataasi Health Centre","Health Centre","Ataasi Nkwanta","Government",5.96664,-1.36454,47.96664,47.96664
"86","Ashanti","Sekyere Central","Atonsu Health Centre","Health Centre","Atonsu","Government",7.02372,-1.30912,49.02372,49.02372
"87","Ashanti","Adansi South","Atwereboana Clinic","Clinic","Atwereboana","Government",5.96235,-1.34213,47.96235,47.96235
"88","Ashanti","Atwima-Nwabiagya","Atwima Clinic","Clinic","Atwima","Government",7,-2,49,49
"89","Ashanti","Obuasi Municipal","Avril Clinic","Clinic","Akaporiso","Private",6.19802,-1.62953,48.19802,48.19802
"90","Ashanti","Ejura Sekyeredumasi","Babaso MCH","Clinic","Babaso","Government",7.34065,-1.32417,49.34065,49.34065
"91","Ashanti","Asante-Akim South","Banka Health Centre","Health Centre","Banka","Government",6.29824,-1.21615,48.29824,48.29824
"92","Ashanti","Sekyere Afram Plains","Banko Health Centre","Health Centre","Banko","Government",6.75822,-1.28473,48.75822,48.75822
"93","Ashanti","Asante-Akim South","Banso SDA Clinic","Clinic","Banso","Government",6.47584,-1.19674,48.47584,48.47584
"94","Ashanti","Atwima-Nwabiagya","Barekese Health Centre","Health Centre","Barekese","Government",7,-2,49,49
"95","Ashanti","Atwima-Mponua","Barniekrom maternity home","Maternity Home","Barniekrom","Government",6.54199,-2.17473,48.54199,48.54199
"96","Ashanti","Asante-Akim North Municipal","Bebome Health Centre","Health Centre","Bebome","Government",6.86725,-1.09566,48.86725,48.86725
"97","Ashanti","Atwima-Kwanwoma","Bebu Methodist Clinic","Clinic","Bebu","CHAG",6.61154,-1.68505,48.61154,48.61154
"98","Ashanti","Bekwai Municipal","Bekwai Government Hospital","District Hospital","Bekwai","Government",6.45605,-1.57857,48.45605,48.45605
"99","Ashanti","Mampong Municipal","Benim Health Centre","Health Centre","Benim","Government",7.09054,-1.46459,49.09054,49.09054
"100","Ashanti","Sekyere Central","Beposo Health Centre","Centre","Beposo","Government",6.98526,-1.35503,48.98526,48.98526
"101","Ashanti","Atwima-Mponua","Bethel Maternity Home","Maternity Home","Enyinamoso","Private",6.64692,-1.90327,48.64692,48.64692
"102","Ashanti","Ahafo-Ano North","Betiako Health Centre","Health Centre","Betiako","Government",6.86638,-2.20685,48.86638,48.86638
"103","Ashanti","Atwima-Mponua","Beyerebon No.5 Health Centre","Health Centre","Bayerebon","Government",6.39211,-2.18134,48.39211,48.39211
"104","Ashanti","Mampong Municipal","Birem Health Centre","Health Centre","Birem","Government",7.22732,-0.99197,49.22732,49.22732
"105","Ashanti","Afigya-Kwabre","Boamang Health Centre","Health Centre","Boamang","Government",6.94073,-1.61705,48.94073,48.94073
"106","Ashanti","Sekyere South","Boanim Health Centre","Health Centre","Boanim","Government",7.03482,-1.48741,49.03482,49.03482
"107","Ashanti","Adansi North","Bodwesango St Louis Health Centre","Health Centre","Bodwesango","CHAG",6.22249,-1.31031,48.22249,48.22249
"108","Ashanti","Ejisu-Juaben Municipal","Bomfa Health Centre","Health Centre","Bomfa","Government",6.59635,-1.29933,48.59635,48.59635
"109","Ashanti","Asante-Akim South","Bompata Health Centre","Health Centre","Bompata","Government",6.66727,-1.08393,48.66727,48.66727
"110","Ashanti","Offinso Municipal","Bonsua Health Centre","Health Centre","Bonsua","Government",6.93485,-1.67615,48.93485,48.93485
"111","Ashanti","Ejisu-Juaben Municipal","Bonwire Clinic","Clinic","Bonwire","Private",6.4716,-1.2846,48.4716,48.4716
"112","Ashanti","Obuasi Municipal","Brahabebome Clinic","Clinic","Brahabebome New Site","Private",6.19444,-1.63014,48.19444,48.19444
"113","Ashanti","Obuasi Municipal","Bryant  Mission Hospital","Hospital","Boete","Private",6.1131,-1.3844,48.1131,48.1131
"114","Ashanti","Obuasi Municipal","Cecilia Maternity  Home","Maternity Home","Kwabrafoso","Private",6.19886,-1.65574,48.19886,48.19886
"115","Ashanti","Obuasi Municipal","Central Market Clinic","Clinic","Estate Extension","Private",6.20591,-1.67031,48.20591,48.20591
"116","Ashanti","Kwabre","Christ Our Hope Maternity Home","Maternity Home","Ntonso","Private",6.75486,-1.52744,48.75486,48.75486
"117","Ashanti","Amansie West","Christ Our Saviour Clinic","Clinic","Manso Moseaso","CHAG",6.51142,-1.85217,48.51142,48.51142
"118","Ashanti","Ejisu-Juaben Municipal","Church of Christ Mission Clinic","Clinic","Adadientam","CHAG",6.71394,-1.42827,48.71394,48.71394
"119","Ashanti","Ejisu-Juaben Municipal","Church of God Clinic","Clinic","Essienimpong","CHAG",6.66053,-1.44979,48.66053,48.66053
"120","Ashanti","Atwima-Mponua","Community Health Centre","Clinic","Mpasatia","CHAG",6.66848,-1.84016,48.66848,48.66848
"121","Ashanti","Sekyere Central","Cross Medical Centre","Clinic","Nsuta","Private",7.00829,-1.37595,49.00829,49.00829
"122","Ashanti","Asante-Akim North Municipal","Daasebre Maternity Home","Maternity Home","Ahenebronuum","Private",6.62776,-1.21314,48.62776,48.62776
"123","Ashanti","Sekyere Afram Plains","Dadiase Health Centre","Health Centre","Dadiase","Government",6.88078,-1.36776,48.88078,48.88078
"124","Ashanti","Ejisu-Juaben Municipal","Dakopon Hospital","Hospital","Kwamo","Private",6.72086,-1.49322,48.72086,48.72086
"125","Ashanti","Amansie West","Datano Health Post","Clinic","Datano","CHAG",6.29398,-1.97098,48.29398,48.29398
"126","Ashanti","Bosome Freho","Detieso Community Clinic","Clinic","Detieso","Government",6.47674,-1.44168,48.47674,48.47674
"127","Ashanti","Sekyere South","Domeabra Health Centre","Health Centre","Domeabra","Government",6.93864,-1.55757,48.93864,48.93864
"128","Ashanti","Adansi North","Dompoase Benito Menni Health Centre","Health Centre","Dompoase","CHAG",6.32282,-1.54468,48.32282,48.32282
"129","Ashanti","Amansie West","Dora Maternity Clinic","Maternity Home","Pakyi  No 2","Private",6.4804,-1.4951,48.4804,48.4804
"130","Ashanti","Offinso North","Dorcas Memorial Clinic","Clinic","Akomadan","CHAG",7.39694,-1.95297,49.39694,49.39694
"131","Ashanti","Bosome Freho","Duasi Community Clinic","Clinic","Duasi","Government",6.46863,-1.39522,48.46863,48.46863
"132","Ashanti","Asante-Akim North Municipal","Dwease Health Centre","Health Centre","Dwease","Government",6.53747,-1.24407,48.53747,48.53747
"133","Ashanti","Asante-Akim South","Dwendwenase Health Centre","Health Centre","Dwendwenase","Government",6.41223,-1.19934,48.41223,48.41223
"134","Ashanti","Atwima-Mponua","Ebenezer Methodist Clinic","Clinic","Mpasatia","CHAG",6.65865,-1.84306,48.65865,48.65865
"135","Ashanti","Adansi South","Edwafo Health Centre","Health Centre","Edwafo","Government",6.19675,-1.57367,48.19675,48.19675
"136","Ashanti","Sekyere East","Effiduase District Hospital","District Hospital","Effiduase","Government",6.84739,-1.39373,48.84739,48.84739
"137","Ashanti","Sekyere East","Effiduase Trust Maternity Home","Maternity Home","Effiduase","Private",6.84821,-1.39412,48.84821,48.84821
"138","Ashanti","Ejisu-Juaben Municipal","Ejisu Health Centre","Health Centre","Ejisu","Government",6.72103,-1.47028,48.72103,48.72103
"139","Ashanti","Ejura Sekyeredumasi","Ejura District Hospital","District Hospital","Ejura","Government",7.38906,-1.35197,49.38906,49.38906
"140","Ashanti","Ejura Sekyeredumasi","Ejura MCH","Clinic","Ejura","Government",7.36556,-1.34358,49.36556,49.36556
"141","Ashanti","Afigya-Kwabre","Ejuratia Health Centre","Health Centre","Ejuratia","Government",6.82287,-1.52227,48.82287,48.82287
"142","Ashanti","Obuasi Municipal","Emmanuel  Maternity  Home","Maternity Home","Boete","Private",6.19235,-1.64475,48.19235,48.19235
"143","Ashanti","Ejura Sekyeredumasi","Enso Nyameye Maternity Home","Maternity Home","Kontokori Line","Private",7.37894,-1.35796,49.37894,49.37894
"144","Ashanti","Ahafo-Ano South","Essienkyem Health Centre","Health Centre","Essienkyem","Government",6.97584,-1.84784,48.97584,48.97584
"145","Ashanti","Atwima-Nwabiagya","Everest Hospital","Hospital","Achiase","Private",7,-2,49,49
"146","Ashanti","Atwima-Kwanwoma","Eye Adom Maternity Home","Maternity Home","Brofoyeduru","Private",6.61458,-1.65857,48.61458,48.61458
"147","Ashanti","Afigya-Kwabre","Family Care Hospital","Hospital","Mowre","Private",6.81614,-1.47675,48.81614,48.81614
"148","Ashanti","Kwabre","Fawade Nkanta Clinic","Clinic","Fawade","Private",6.81047,-1.63866,48.81047,48.81047
"149","Ashanti","Atwima-Kwanwoma","Foase Health Centre","Health Centre","Foase","Government",6.63751,-1.75124,48.63751,48.63751
"150","Ashanti","Adansi North","Fomena Health Centre","Health Centre","Fomena","Government",6.28022,-1.51002,48.28022,48.28022
"151","Ashanti","Adansi North","Fumso Health Centre","Health Centre","Fumso","Government",6.11048,-1.44854,48.11048,48.11048
"152","Ashanti","Adansi North","Fumso-Ketewa Health Centre","Health Centre","Fumso Ketewa","Government",6.29675,-1.63103,48.29675,48.29675
"153","Ashanti","Afigya-Kwabre","Gladys Maternity Home","Maternity Home","Kodie","Private",6.78875,-1.56109,48.78875,48.78875
"154","Ashanti","Ejisu-Juaben Municipal","Global Evangelical Mission Hospital","Hospital","Apromase","CHAG",6.66903,-1.49298,48.66903,48.66903
"155","Ashanti","Atwima-Nwabiagya","God is Able Maternity Home","Maternity Home","Sepase","Private",7,-2,49,49
"156","Ashanti","Ejisu-Juaben Municipal","Grace Maternity Home and Clinic","Maternity Home","Akyawkrom","Private",6.73257,-1.46146,48.73257,48.73257
"157","Ashanti","Bosome Freho","Gyasikrom Health Centre","Clinic","Gyasikrom","Government",6.40145,-1.47313,48.40145,48.40145
"158","Ashanti","Atwima-Mponua","Gyreso RCH","RCH","Gyeresu","Government",6.47006,-2.41673,48.47006,48.47006
"159","Ashanti","Ejura Sekyeredumasi","Homako Community Clinic","Clinic","Homako","Government",7.42915,-1.45106,49.42915,49.42915
"160","Ashanti","Ejisu-Juaben Municipal","Humble Maternity Home","Maternity Home","Kokobra","Private",6.71479,-1.52225,48.71479,48.71479
"161","Ashanti","Ejisu-Juaben Municipal","Huttel Health Centre","Health Centre","Boamadumase","Private",6.61582,-1.34007,48.61582,48.61582
"162","Ashanti","Adansi South","Hwidiem Community Clinic","Clinic","Hwidiem","Government",5.89432,-1.46766,47.89432,47.89432
"163","Ashanti","Obuasi Municipal","Ideal Homoepatic Clinic","Clinic","Obuasi - Stadium","Private",6.20564,-1.68425,48.20564,48.20564
"164","Ashanti","Sekyere Central","Isaaka Akura Health Centre","Health Centre","Isaaka Akura-Afram  Plains","Private",7.41542,-1.13783,49.41542,49.41542
"165","Ashanti","Afigya-Kwabre","Jalua  Maternity Home","Maternity Home","Nkukua Buoho","Private",6.81462,-1.64877,48.81462,48.81462
"166","Ashanti","Sekyere South","Jamasi Health Centre","Health Centre","Jamasi","Government",6.97753,-1.47255,48.97753,48.97753
"167","Ashanti","Sekyere Central","Jeduako Clinic","Clinic","Jeduako","Government",7.09501,-1.20917,49.09501,49.09501
"168","Ashanti","Obuasi Municipal","Jemina Maternity Home","Maternity Home","Obuasi Central","Private",6.20313,-1.66816,48.20313,48.20313
"169","Ashanti","Ejisu-Juaben Municipal","Jesus Is Lord Maternity Home","Maternity Home","Tikrom","Private",6.73865,-1.51092,48.73865,48.73865
"170","Ashanti","Kwabre","Joy Maternity Home","Maternity Home","Mamponteng","Private",6.79962,-1.64543,48.79962,48.79962
"171","Ashanti","Ejisu-Juaben Municipal","Juaben Government Hospital","District Hospital","Juaben","Government",6.81602,-1.41392,48.81602,48.81602
"172","Ashanti","Asante-Akim North Municipal","Juansa Health Centre","Health Centre","Juansa","Government",6.72336,-1.12734,48.72336,48.72336
"173","Ashanti","Asante-Akim South","Juaso District Hospital","District Hospital","Juaso","Government",6.59223,-1.12113,48.59223,48.59223
"174","Ashanti","Amansie West","Keniago CHPS","CHPS","Keniago","Government",6.37344,-2.01764,48.37344,48.37344
"175","Ashanti","Kwabre","Kenyasi Health Centre","Health Centre","Kenyasi","Government",6.78507,-1.56655,48.78507,48.78507
"176","Ashanti","Obuasi Municipal","KofiKrom Clinic","Clinic","Kofi Krom","Private",6.19624,-1.68043,48.19624,48.19624
"177","Ashanti","Mampong Municipal","Kofiase Health Centre","Health Centre","Kofiase","Government",7.14113,-1.48363,49.14113,49.14113
"178","Ashanti","Bekwai Municipal","Kokofu General Hospital","Hospital","Kokofu","Government",6.49903,-1.52254,48.49903,48.49903
"179","Ashanti","Sekyere South","Kona Health Centre","Health Centre","Kona","Government",6.86776,-1.51231,48.86776,48.86776
"180","Ashanti","Asante-Akim North Municipal","Konongo-Odumasi Government Hospital","District Hospital","Konongo","Government",6.62436,-1.21792,48.62436,48.62436
"181","Ashanti","Mampong Municipal","Krobo Health Centre","Health Centre","Krobo","Government",7.07457,-1.42352,49.07457,49.07457
"182","Ashanti","Sekyere Afram Plains","Kumawu Health Centre","Health Centre","Kumawu","Government",6.90708,-1.26803,48.90708,48.90708
"183","Ashanti","Asante-Akim South","Komeso Health Centre","Health Centre","Kumeso","Government",6.46154,-1.06901,48.46154,48.46154
"184","Ashanti","Afigya-Kwabre","Kwamang Health Centre","Health Centre","Kwamang","Government",6.89664,-1.62457,48.89664,48.89664
"185","Ashanti","Sekyere Central","Kwamang Health Centre","Health Centre","Kwamang","Government",6.98188,-1.26961,48.98188,48.98188
"186","Ashanti","Atwima-Kwanwoma","Kwanwoma Health Centre","Health Centre","Kwanwoma","Government",6.62865,-1.63524,48.62865,48.62865
"187","Ashanti","Ejisu-Juaben Municipal","Kwaso Health Centre","Health Centre","Kwaso","Government",6.62771,-1.44722,48.62771,48.62771
"188","Ashanti","Afigya-Kwabre","Kyekyewere Health Centre","Health Centre","Kyekyewere","Government",7.14538,-1.63944,49.14538,49.14538
"189","Ashanti","Asante-Akim North Municipal","Life Land Clinic","Clinic","Abosomtweagya","Private",6.62067,-1.20373,48.62067,48.62067
"190","Ashanti","Atwima-Nwabiagya","Maakro Clinic","Clinic","Maakro","Private",7,-2,49,49
"191","Ashanti","Ahafo-Ano North","Matang Clinic","Clinic","Matang","Private",6.99615,-2.21651,48.99615,48.99615
"192","Ashanti","Ejisu-Juaben Municipal","Madoma Maternity Clinic","Clinic","Besease","CHAG",6.72093,-1.45015,48.72093,48.72093
"193","Ashanti","Ejisu-Juaben Municipal","Mama Tina Maternity Home","Maternity Home","Kwamo","Private",6.71524,-1.50509,48.71524,48.71524
"194","Ashanti","Mampong Municipal","Mampong District Hospital","District Hospital","Mampong","Government",7.04563,-1.40219,49.04563,49.04563
"195","Ashanti","Mampong Municipal","Mampong Quality Hospital","Hospital","Mampong","Private",7.04621,-1.40195,49.04621,49.04621
"196","Ashanti","Kwabre","Mamponteng Health Centre","Health Centre","Mamponteng","Government",6.83295,-1.47695,48.83295,48.83295
"197","Ashanti","Ahafo-Ano North","Manfo Health Centre","Health Centre","Manfo","Government",6.94531,-2.23044,48.94531,48.94531
"198","Ashanti","Ahafo-Ano South","Mankranso Hospital","Hospital","Mankranso","Government",6.82076,-1.86278,48.82076,48.82076
"199","Ashanti","Amansie West","Manso Abore Health Centre","Health Centre","Manso Abore","Government",6.44627,-1.97764,48.44627,48.44627
"200","Ashanti","Amansie West","Manso Edubia Health Centre","Health Centre","Manso-Adubia","Government",6.40256,-1.92957,48.40256,48.40256
"201","Ashanti","Amansie West","Manso Nkwanta Maternity Home","Maternity Home","Manso Nkwanta","Private",6.47682,-1.87916,48.47682,48.47682
"202","Ashanti","Amansie West","Manso Tontokrom Health Centre","Health Centre","Tontokrom","Government",6.24929,-1.99483,48.24929,48.24929
"203","Ashanti","Adansi South","Mansonso Health Centre","Health Centre","Mansonso","Government",6.04547,-1.58955,48.04547,48.04547
"204","Ashanti","Amansie Central","Marben Maternity","Maternity Home","Jacobu","Private",6.35241,-1.67799,48.35241,48.35241
"205","Ashanti","Kwabre","Meduma Clinic","Clinic","Medoma","Private",6.79089,-1.56091,48.79089,48.79089
"206","Ashanti","Ejisu-Juaben Municipal","Memorial Maternity Home","Maternity Home","Okyerekrom","Private",6.72122,-1.52589,48.72122,48.72122
"207","Ashanti","Afigya-Kwabre","Methodist Faith Healing Hospital","District Hospital","Ankaase","CHAG",6.84819,-1.54934,48.84819,48.84819
"208","Ashanti","Amansie Central","Mile 14 Community Clinic","Clinic","Mile 14","Government",6.22126,-1.82139,48.22126,48.22126
